,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,82.06,76.88,0.00,88.32,31.58,0.00
grid,96.99,84.98,0.00,95.58,25.25,0.00
leather,95.79,93.82,0.00,95.65,36.06,0.00
tile,97.87,60.47,0.00,96.47,23.61,0.00
wood,85.96,90.04,0.00,92.80,49.12,0.00
bottle,92.30,83.49,0.00,92.91,40.55,0.00
cable,53.75,61.69,0.00,76.03,9.39,0.00
capsule,56.28,41.29,0.00,90.46,3.82,0.00
hazelnut,83.86,82.25,0.00,85.11,30.84,0.00
metal_nut,70.43,43.45,0.00,89.42,21.29,0.00
pill,60.67,57.81,0.00,91.56,7.79,0.00
screw,45.28,70.43,0.00,85.30,4.00,0.00
toothbrush,54.72,49.23,0.00,84.51,3.68,0.00
transistor,66.29,52.18,0.00,61.16,9.57,0.00
zipper,80.90,56.46,0.00,88.15,23.88,0.00
